rating,specs_score,likes,disp_diag,camera,storage,ram,battery_capacity,disp_height,disp_width,oper_syst_vers,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Hotwav,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi,hat_log_price
3.9,38,77,5.5,8.0,16.0,1.0,3000.0,1280.0,720.0,7,2017,10.126591103050316,167563.63636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.51021805462915
3.7,48,62,5.5,13.0,16.0,2.0,3000.0,1920.0,1080.0,6,2016,9.952230096524119,377018.1818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.65593812870549
4.1,38,24,5.0,2.0,16.0,1.0,4000.0,1280.0,720.0,6,2017,10.596609732783568,184320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.466090383917818
3.3,61,32,6.5,8.0,64.0,4.0,4230.0,1600.0,720.0,9,2015,9.798071479779479,177230.76923076922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.52961640698646
3.8,100,14,6.4,32.0,128.0,8.0,4025.0,2400.0,1080.0,10,2020,10.126631103850338,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.392154673977387
2.8,98,23,6.4,16.0,128.0,8.0,4025.0,2400.0,1080.0,9,2020,10.341742483467284,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.202507111887876
3.4,100,25,6.4,32.0,128.0,8.0,4025.0,2400.0,1080.0,10,2020,10.518646164234097,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.36371817248785
3.5,64,16,6.5,8.0,128.0,4.0,4230.0,1600.0,720.0,9,2019,9.471550124096849,177230.76923076922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.816295932752395
3.5,97,47,6.5,16.0,128.0,8.0,4000.0,2340.0,1080.0,9,2019,10.419300717813158,388800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1985353478679
4.2,100,37,6.5,16.0,128.0,8.0,4000.0,2400.0,1080.0,9,2019,11.050874132231819,398769.23076923075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.250748626855676
2.9,100,23,6.4,32.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,11.050874132231819,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.183209366917842
3.3,98,153,6.5,16.0,128.0,8.0,5000.0,1600.0,720.0,9,2020,10.165851817003619,177230.76923076922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.054635963342967
3.4,65,46,6.5,8.0,128.0,4.0,5000.0,1600.0,720.0,9,2020,10.043206015705211,177230.76923076922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.803989695498714
3.0,60,59,6.5,8.0,64.0,3.0,5000.0,1600.0,720.0,9,2020,9.878169744551839,177230.76923076922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.589138834961778
3.3,100,95,6.5,16.0,256.0,8.0,4000.0,2400.0,1080.0,9,2019,10.341742483467284,398769.23076923075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.440724849790646
3.5,95,34,6.4,32.0,128.0,6.0,4035.0,2340.0,1080.0,9,2019,10.239959789157341,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.217962820453401
3.7,50,43,6.1,5.0,32.0,2.0,4000.0,1560.0,720.0,9,2019,9.350015354048665,184131.14754098363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.516901564097672
4.3,87,47,6.53,16.0,64.0,4.0,4020.0,2340.0,1080.0,9,2019,10.239924074233857,387013.78254211333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.896536268992495
4.8,59,57,6.2,16.0,64.0,4.0,4230.0,1520.0,720.0,8,2018,9.740968623038354,176516.12903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.760846791562564
4.0,42,12,5.5,8.0,16.0,3.0,3000.0,1280.0,720.0,5,2016,9.775199532234597,167563.63636363635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.833056229942693
3.0,45,5,5.5,5.0,16.0,3.0,4150.0,1280.0,720.0,6,2017,9.910463166272553,167563.63636363635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73141546561846
2.0,40,22,5.5,5.0,16.0,2.0,4150.0,1280.0,720.0,5,2016,9.506734385029985,167563.63636363635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.572835936403257
3.0,37,16,5.0,5.0,16.0,1.0,2200.0,1280.0,720.0,6,2016,9.66770192587285,184320.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.722791377466711
3.4,47,13,5.5,16.0,16.0,2.0,3080.0,1280.0,720.0,7,2017,9.648595302907339,167563.63636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.521494142524253
4.6,58,9,5.5,5.0,64.0,4.0,3080.0,1920.0,1080.0,7,2017,9.322775801305971,377018.1818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.820477145212294
3.0,67,9,6.44,5.0,128.0,4.0,4850.0,1920.0,1080.0,6,2016,9.322775801305971,321987.57763975154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.686215255420942
2.5,59,1,6.44,5.0,64.0,3.0,4850.0,1920.0,1080.0,6,2016,10.239959789157341,321987.57763975154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.46975679161394
3.0,57,5,6.44,5.0,32.0,3.0,4850.0,1920.0,1080.0,6,2016,9.126850061477157,321987.57763975154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.435775634031454
2.0,43,5,5.0,5.0,32.0,2.0,3120.0,1280.0,720.0,6,2016,9.392578591964389,184320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.364904957878345
2.0,42,6,5.0,5.0,16.0,2.0,3120.0,1280.0,720.0,6,2016,9.392661928770137,184320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.331965754563743
3.7,51,7,5.15,4.0,32.0,3.0,3000.0,1920.0,1080.0,6,2016,9.156939595249067,402640.7766990291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.65709897206659
3.5,72,4,5.99,5.0,128.0,8.0,3400.0,2160.0,1080.0,7,2017,9.704975636343447,389449.081803005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.08099349857763
4.5,76,7,5.99,5.0,256.0,6.0,3400.0,2160.0,1080.0,7,2017,9.305559638557117,389449.081803005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.296438458215077
3.3,69,4,5.99,5.0,128.0,6.0,3400.0,2160.0,1080.0,7,2017,9.615138591096644,389449.081803005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.957807620808698
3.0,67,7,5.5,16.0,128.0,6.0,3500.0,1920.0,1080.0,7,2017,9.305559638557117,377018.1818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.024538913063171
4.0,64,12,5.5,16.0,64.0,6.0,3500.0,1920.0,1080.0,7,2017,9.752664662801545,377018.1818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.957271527005854
3.7,53,81,5.71,8.0,32.0,3.0,3000.0,1520.0,720.0,9,2019,9.635608107380527,191663.74781085816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.526027284856541
3.7,50,20,5.71,8.0,16.0,2.0,3000.0,1520.0,720.0,9,2019,9.305559638557117,191663.74781085816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.452329117906181
3.0,46,25,6.2,5.0,16.0,2.0,4000.0,1520.0,720.0,9,2019,9.433483923290392,176516.12903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.319620282032265
