rating,disp_diag,camera,storage,ram,battery_capacity,disp_height,disp_width,oper_syst_vers,year_of_release,log_price,density,Other_oper_syst,IOS_oper_syst,battery_type_LiIon,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
2.9,6.4,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.758403975346978,27421.874999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.8,6.22,5.0,32.0,3.0,3400.0,1520.0,720.0,8,2019,9.602314889901848,28287.548722614534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.4,6.4,16.0,64.0,4.0,4000.0,2340.0,1080.0,9,2019,10.056165720177834,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.9,6.4,16.0,64.0,4.0,5000.0,2280.0,1080.0,9,2019,10.06475570013225,60117.187499999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.5,5.0,13.0,32.0,3.0,2620.0,1920.0,1080.0,6,2016,9.467228129254554,82944.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,5.5,51.0,32.0,3.0,3430.0,3840.0,2160.0,5,2015,10.584055950889214,274195.04132231406,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.5,5.2,51.0,32.0,3.0,2900.0,1920.0,1080.0,5,2015,9.903487552536127,76686.39053254438,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.3,5.5,5.0,16.0,2.0,2620.0,1280.0,720.0,7,2017,9.51044496442652,30466.11570247934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,6.39,32.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,10.308919326755392,61892.48165046618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.0,6.39,16.0,128.0,8.0,4000.0,2340.0,1080.0,9,2019,10.308919326755392,61892.48165046618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.0,6.39,16.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,10.308919326755392,61892.48165046618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.6,6.3,16.0,64.0,4.0,3300.0,2340.0,1080.0,9,2018,9.77984991207795,63673.4693877551,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,5.7,16.0,32.0,3.0,3000.0,2160.0,1080.0,8,2018,9.740968623038354,71800.55401662049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,5.7,8.0,32.0,3.0,3000.0,1440.0,720.0,7,2018,9.305559638557117,31911.35734072022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,5.5,13.0,64.0,4.0,4000.0,1920.0,1080.0,7,2017,9.546812608597396,68548.76033057852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,5.0,8.0,16.0,2.0,2700.0,1920.0,1080.0,5,2016,9.769956159911606,82944.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.5,6.98,5.0,16.0,1.0,4250.0,1280.0,720.0,5,2015,9.302919553269277,18916.100853030763,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,6.8,5.0,32.0,2.0,3500.0,1920.0,1080.0,5,2015,9.302919553269277,44844.29065743945,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,5.0,5.0,32.0,2.0,2300.0,1920.0,1080.0,4,2014,9.903487552536127,82944.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.8,6.2,24.0,64.0,6.0,3750.0,1500.0,720.0,8,2018,9.825526011066415,28095.733610822055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.2,6.2,16.0,16.0,2.0,3750.0,1500.0,720.0,8,2018,9.392578591964389,28095.733610822055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,6.0,8.0,32.0,2.0,3500.0,1440.0,720.0,8,2018,9.532423871145296,28800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.4,6.0,8.0,16.0,1.0,3500.0,1440.0,720.0,8,2018,9.259130536145614,28800.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.1,5.0,5.0,8.0,1.0,2400.0,480.0,854.0,8,2018,9.608445125678054,16396.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,6.0,13.0,16.0,3.0,5000.0,720.0,1440.0,8,2018,9.680344001221918,28800.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.7,6.0,8.0,16.0,2.0,5000.0,720.0,1440.0,8,2018,9.51044496442652,28800.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.8,5.5,5.0,8.0,1.0,2400.0,480.0,960.0,7,2018,9.104979856318357,15233.05785123967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.4,5.0,2.0,8.0,1.0,2000.0,480.0,854.0,7,2018,9.392578591964389,16396.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.9,6.0,20.0,16.0,3.0,3750.0,1440.0,720.0,8,2017,9.350015354048665,28800.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.9,5.5,8.0,16.0,1.0,3000.0,1280.0,720.0,7,2017,10.126591103050316,30466.11570247934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.7,5.5,13.0,16.0,2.0,3000.0,1920.0,1080.0,6,2016,9.952230096524119,68548.76033057852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.3,6.5,8.0,64.0,4.0,4230.0,1600.0,720.0,9,2015,9.798071479779479,27266.27218934911,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.8,6.4,32.0,128.0,8.0,4025.0,2400.0,1080.0,10,2020,10.126631103850338,63281.249999999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,6.4,16.0,128.0,8.0,4025.0,2400.0,1080.0,9,2020,10.341742483467284,63281.249999999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.4,6.4,32.0,128.0,8.0,4025.0,2400.0,1080.0,10,2020,10.518646164234097,63281.249999999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.5,6.5,8.0,128.0,4.0,4230.0,1600.0,720.0,9,2019,9.471550124096849,27266.27218934911,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.5,6.5,16.0,128.0,8.0,4000.0,2340.0,1080.0,9,2019,10.419300717813158,59815.38461538462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.2,6.5,16.0,128.0,8.0,4000.0,2400.0,1080.0,9,2019,11.050874132231819,61349.112426035506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,6.4,32.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,11.050874132231819,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.3,6.5,16.0,128.0,8.0,5000.0,1600.0,720.0,9,2020,10.165851817003619,27266.27218934911,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.4,6.5,8.0,128.0,4.0,5000.0,1600.0,720.0,9,2020,10.043206015705211,27266.27218934911,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,6.5,8.0,64.0,3.0,5000.0,1600.0,720.0,9,2020,9.878169744551839,27266.27218934911,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.3,6.5,16.0,256.0,8.0,4000.0,2400.0,1080.0,9,2019,10.341742483467284,61349.112426035506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.5,6.4,32.0,128.0,6.0,4035.0,2340.0,1080.0,9,2019,10.239959789157341,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.7,6.1,5.0,32.0,2.0,4000.0,1560.0,720.0,9,2019,9.350015354048665,30185.434023112073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
