phone_title,const,rating,disp_diag,camera,storage,ram,battery_capacity,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo
Lenovo Z5s,1.0,3.6,6.3,16.0,64.0,4.0,3.3,2018,9.77984991207795,6.36734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo S5,1.0,4.5,5.7,16.0,32.0,3.0,3.0,2018,9.740968623038354,7.180055401662049,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo K5,1.0,4.5,5.7,8.0,32.0,3.0,3.0,2018,9.305559638557117,3.191135734072022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo K8 Note,1.0,3.0,5.5,13.0,64.0,4.0,4.0,2017,9.546812608597396,6.8548760330578515,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo Vibe S1 Lite,1.0,2.0,5.0,8.0,16.0,2.0,2.7,2016,9.769956159911606,8.2944,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo Phab,1.0,2.5,6.98,5.0,16.0,1.0,4.25,2015,9.302919553269277,1.8916100853030762,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo Phab Plus,1.0,3.0,6.8,5.0,32.0,2.0,3.5,2015,9.302919553269277,4.484429065743945,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lenovo Vibe X2,1.0,4.0,5.0,5.0,32.0,2.0,2.3,2014,9.903487552536127,8.2944,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tecno Camon 11 Pro,1.0,3.8,6.2,24.0,64.0,6.0,3.75,2018,9.825526011066415,2.8095733610822053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Camon 11,1.0,3.2,6.2,16.0,16.0,2.0,3.75,2018,9.392578591964389,2.8095733610822053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Spark 2 32GB,1.0,4.0,6.0,8.0,32.0,2.0,3.5,2018,9.532423871145296,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Spark 2,1.0,3.4,6.0,8.0,16.0,1.0,3.5,2018,9.259130536145614,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno F2 LTE,1.0,3.1,5.0,5.0,8.0,1.0,2.4,2018,9.608445125678054,1.63968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Pouvoir 2 Pro,1.0,4.0,6.0,13.0,16.0,3.0,5.0,2018,9.680344001221918,2.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Pouvoir 2,1.0,3.7,6.0,8.0,16.0,2.0,5.0,2018,9.51044496442652,2.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno F3 (POP 1),1.0,3.8,5.5,5.0,8.0,1.0,2.4,2018,9.104979856318357,1.5233057851239669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
